var_name,unit_name,type_name
PLANE LATITUDE, Degrees, f64
PLANE LONGITUDE, Degrees, f64
PLANE ALTITUDE, Feet, f64
PLANE PITCH DEGREES, Degrees, f64
PLANE BANK DEGREES, Degrees, f64
PLANE HEADING DEGREES MAGNETIC, Degrees, f64
GENERAL ENG THROTTLE LEVER POSITION:1, Percent, f64
GENERAL ENG MIXTURE LEVER POSITION:1, Percent, f64
VELOCITY WORLD X, Feet per second, f64
VELOCITY WORLD Y, Feet per second, f64
VELOCITY WORLD Z, Feet per second, f64
ACCELERATION WORLD X, Feet per second squared, f64
ACCELERATION WORLD Y, Feet per second squared, f64
ACCELERATION WORLD Z, Feet per second squared, f64
ROTATION VELOCITY BODY X, Feet per second, f64
ROTATION VELOCITY BODY Y, Feet per second, f64
ROTATION VELOCITY BODY Z, Feet per second, f64
YOKE X POSITION, Position, f64
YOKE Y POSITION, Position, f64
RUDDER PEDAL POSITION, Position, f64
RUDDER POSITION, Position, f64
ELEVATOR POSITION, Position, f64
AILERON POSITION, Position, f64
ELEVATOR TRIM POSITION, Radians, f64
