
var_name,unit_name,type_name,event_name,sync_type
LIGHT STROBE, BOOL, i32, STROBES_SET, SWITCHSET
LIGHT PANEL, BOOL, i32, PANEL_LIGHTS_SET, SWITCHSET
LIGHT LANDING, BOOL, i32, LANDING_LIGHTS_SET, SWITCHSET
LIGHT TAXI, BOOL, i32, TOGGLE_TAXI_LIGHTS, SWITCH
LIGHT BEACON, BOOL, i32, TOGGLE_BEACON_LIGHTS, SWITCH
LIGHT NAV, BOOL, i32, TOGGLE_NAV_LIGHTS, SWITCH
LIGHT LOGO, BOOL, i32, TOGGLE_LOGO_LIGHTS, SWITCH
LIGHT WING, BOOL, i32, TOGGLE_WING_LIGHTS, SWITCH
LIGHT RECOGNITION, BOOL, i32, TOGGLE_RECOGNITION_LIGHTS, SWITCH
LIGHT CABIN, BOOL, i32,  TOGGLE_CABIN_LIGHTS, SWITCH
PITOT HEAT, Bool, i32, PITOT_HEAT_SET, SWITCHSET
COM ACTIVE FREQUENCY:1, Frequency BCD16, f64, COM_RADIO_SET, SWITCHSET
COM STANDBY FREQUENCY:1, Frequency BCD16, f64, COM_STBY_RADIO_SET, SWITCHSET
NAV ACTIVE FREQUENCY:1, Frequency BCD16, f64, NAV1_RADIO_SET, SWITCHSET
NAV STANDBY FREQUENCY:1, Frequency BCD16, f64, NAV1_STBY_SET, SWITCHSET
